,player_final,player_final_value,actions_taken
334,"{6, 4, 3, 10}",23,"{'H', 'H'}"
335,"{2, 10, 10}",22,{'H'}
336,"{8, 10}",18,{'S'}
337,"{4, 7, 5}",16,{'D'}
338,"{7, 10}",17,{'S'}
339,"{2, 10, 4, 10}",26,"{'H', 'H'}"
340,"{3, 11, 4}",18,"{'H', 'S'}"
341,"{10, 7}",17,{}
342,"{8, 10}",18,{'S'}
343,"{5, 4, 6, 5}",20,"{'H', 'H', 'S'}"
344,"{2, 6, 9}",17,"{'H', 'S'}"
345,"{4, 6, 2}",12,{'D'}
346,"{6, 2, 4, 8}",20,"{'H', 'H', 'S'}"
347,"{10, 8}",18,"{'N', 'S'}"
348,"{2, 9, 10}",21,{'D'}
349,"{6, 2, 7, 7}",22,"{'N', 'H', 'H'}"
350,"{10, 9}",19,{'S'}
351,"{10, 5, 4}",19,"{'H', 'S'}"
352,"{10, 3, 8}",21,"{'H', 'S'}"
353,"{10, 3, 8}",21,"{'H', 'S'}"
354,"{9, 10}",19,{'S'}
355,"{10, 3, 6}",19,"{'H', 'S'}"
356,"{10, 10}",20,{'S'}
357,"{2, 7, 6}",15,"{'P', 'D'}"
357,"{2, 10}",12,{'S'}
358,"{6, 10}",16,{'R'}
359,"{5, 10}",15,{'R'}
360,"{10, 2, 6}",18,"{'H', 'S'}"
361,"{8, 3, 6}",17,{'D'}
362,"{11, 9}",20,{'S'}
363,"{3, 11, 11}",15,{'D'}
364,"{6, 4, 10}",20,{'D'}
365,"{5, 4, 4}",13,{'D'}
366,"{4, 10, 6}",20,"{'H', 'S'}"
367,"{10, 9}",19,{'S'}
368,"{11, 9}",20,{'S'}
369,"{7, 10}",17,{'S'}
370,"{10, 10}",20,{'S'}
371,"{9, 7}",16,{'R'}
372,"{10, 10}",20,{'S'}
373,"{6, 4, 8}",18,"{'H', 'S'}"
374,"{7, 10}",17,"{'N', 'R'}"
375,"{8, 4, 7}",19,"{'H', 'S'}"
376,"{8, 10}",18,{'S'}
377,"{4, 8, 4, 11}",17,"{'H', 'H', 'S'}"
378,"{11, 7}",18,{'S'}
379,"{9, 2, 10}",21,{'D'}
380,"{9, 2}",11,{'N'}
381,"{6, 8, 9}",23,{'H'}
382,"{6, 2, 10}",18,"{'H', 'S'}"
383,"{7, 3, 8}",18,{'D'}
384,"{5, 2, 9, 11}",17,"{'H', 'H', 'S'}"
385,"{2, 10, 8}",20,"{'H', 'S'}"
386,"{3, 6, 10}",19,"{'H', 'S'}"
387,"{7, 10}",17,{'S'}
388,"{10, 3, 2, 7}",22,"{'H', 'H'}"
389,"{2, 10}",12,{'S'}
390,"{8, 2, 6}",16,{'D'}
391,"{10, 3}",13,{'S'}
392,"{11, 5, 4}",20,"{'H', 'S'}"
393,"{7, 3, 10}",20,{'D'}
394,"{10, 3, 6}",19,"{'H', 'S'}"
